"Term","15","18","77","89","38","66","80","103","22","61","93","94","Total Occurances","TF","NI","IDF","tf*idf"
"russia",,,,,,,3,,23.9,14.4,25.6,8.9,75.8,0.0815229081522908,5,0.8754687373539,0.071370757465504
"northKorea",,,,,11,15,22,23,,,,1,72,0.0774360077436008,5,0.8754687373539,0.067792803925017
"southKorea",,,,,12,18,5,4,,,,,39,0.0419445041944504,4,1.09861228866811,0.0460807477501143
"borderWall",11.3,7.7,14,4.3,,,,,,,,,37.3,0.0401161540116154,4,1.09861228866811,0.0440720997712632
"nkDenuclearization",,,,,10,10.7,8.7,7.9,,,,,37.3,0.0401161540116154,4,1.09861228866811,0.0440720997712632
"littleRocketMan",,,,,,4,11,13,,,,,28,0.0301140030114003,3,1.38629436111989,0.0417468725654516
"nkNuclearProgram",,,,,7,9.2,9.8,8.8,,,,,34.8,0.0374274037427404,4,1.09861228866811,0.0411182056847174
"borderSecurity",5.2,6.4,11.3,6.2,,,,,,,,,29.1,0.0312970531297053,4,1.09861228866811,0.034383327167393
"usMilitary",,,,,1,16,,,,,,,17,0.0182835018283502,2,1.79175946922805,0.0327596375315949
"russianElectionInterference",,,,,,,,,9.4,13.7,1.5,2.5,27.1,0.0291460529146053,4,1.09861228866811,0.0320202118981564
"wallLegislation",6.5,10.5,6,3,,,,,,,,,26,0.0279630027963003,4,1.09861228866811,0.0307204985000762
"rexTillerson",,,,,14,3,2,,,,,,19,0.0204345020434502,3,1.38629436111989,0.0283282349551279
"putin",,,,,,,,,9,,2,7,18,0.0193590019359002,3,1.38629436111989,0.0268372752206475
"china",,,,,8,5,4,,,,,,17,0.0182835018283502,3,1.38629436111989,0.0253463154861671
"russiaGainInfluence",,,,,,,,,7.7,6.8,5.6,1.3,21.4,0.0230157023015702,4,1.09861228866811,0.025285333380832
"britain",,,,,,,,,,,11,2,13,0.0139815013981501,2,1.79175946922805,0.0250514875241608
"diplomacy",,,,,6,3.3,6.3,5.6,,,,,21.2,0.0228006022800602,4,1.09861228866811,0.0250490218539083
"intelligenceAgencyInvestigation",,,,,,,,,8.5,3.5,0,0,12,0.0129060012906001,2,1.79175946922805,0.0231244500223023
"trumpProposesSummit",,,,,1,0,0,10.5,,,,,11.5,0.0123682512368251,2,1.79175946922805,0.022160931271373
"usMilitaryAction",,,,,3,9.5,2,0,,,,,14.5,0.0155947515594752,3,1.38629436111989,0.021618916149966
"russianSummit",,,,,,,,,0,0,0,8,8,0.00860400086040009,1,2.484906649788,0.0213801389527899
"poisoning",,,,,,,,,0,0,7.6,3.3,10.9,0.0117229511722951,2,1.79175946922805,0.0210047087702579
"collusionHoax",,,,,,,,,0,7.5,0,0,7.5,0.00806625080662508,1,2.484906649788,0.0200438802682405
"russianhacking",,,,,,,,,9.8,3.8,1,1,15.6,0.0167778016777802,4,1.09861228866811,0.0184322991000457
"russianRelations",,,,,,,,,3,0,0,6.5,9.5,0.0102172510217251,2,1.79175946922805,0.018306856267656
"wallCost",6,4,4,1,,,,,,,,,15,0.0161325016132502,4,1.09861228866811,0.0177233645192747
"usAllies",,,,,,2,,,2,,7,,11,0.0118305011830501,3,1.38629436111989,0.0164005570792846
"nuclearWeapons",,,,,,6,,,,,,,6,0.00645300064530006,1,2.484906649788,0.0160351042145924
