Term,Occurrence
northKorea,15
southKorea,18
nkNuclearProgram,9.2
nkMilitaryPreparedness,2
nkObjectives,.5
reducedUsAsianInfluence,0
increasedNkStatus,1
nkDenuclearization,10.7
diplomacy,3.3
nkAllies,2.5
skAllies,1
nkSanctions,2
usMilitaryAction,9.5
preventativeWarOpponents,2
cyberattack,2
skDefense,.5
skTroops,1
skMissileDefense,0
tillersonWarnsNk,3
TrumpWarnsNk,0
trumpProposesSummit,0
tillersonVisitsSk,1
nkDeception,0
littleRocketMan,4
china,5
rexTillerson,3
usMilitary,16
nuclearWeapons,6
japan,2
usAllies,2
sovietUnion,4
Cold War,2
usIntelligence,1
presidentObama,3
