"Term","Occurrence"
russia,8.9
russiaGainInfluence,1.3
russianElectionInterference,2.5
russianhacking,1
intelligenceAgencyInvestigation,0
investigationReport,0
fakeNews,0
facebook,0
collusionHoax,0
slantedMedia,0
russianRelations,6.5
russianSummit,8
summitTopics,4
poisoning,3.3
usRetaliation,.5
russiaSanctions,0
expulsions,1
usExpulsions,1
alliedExpulsions,0
britishExpulsions,0
russianDiplomats,1
russianSpies,1
putin,7
britain,2
nerveAgent,3
usMedia,3
northKorea,1
"arms race",2
"consulate",1
"presidentObama",1

